itemid,Category
923555162,18
932456691,5
966059437,18
988737661,3
1035395700,3
1061412415,32
1318027469,32
1328110486,4
1354209165,5
1391798349,32
1397606481,22
1442982763,31
1460906225,4
1488076849,3
1580571859,2
1617794475,3
1675847940,4
1701444367,32
1701502462,22
1703574114,41
1734109373,32
1760136794,3
1765474164,41
1766228878,18
1776001780,32
1782544224,18
1823242312,25
5433085,32
7034675,32
26011004,3
36689586,3
73646034,3
83045250,27
188412509,31
411385653,3
418415679,3
596125091,42
617342523,34
691384668,26
724454416,26
993663882,42
1016595478,42
1079002567,4
1101378678,4
1253231189,32
1258259288,31
1309048025,5
1326397690,12
1433830513,22
1436536051,26
1472931331,4
1531585718,27
1545778502,32
1548975605,31
1592894894,32
1613426489,32
1645890876,25
1677072826,35
1703058967,4
1710924695,1
1720228749,35
1743315246,35
1747020476,1
1748200501,3
1760527480,42
1766914497,5
1769883390,3
1781226270,26
1785206935,42
1820683887,32
2618249,1
10826644,3
34634188,32
70850826,3
90025285,27
118644079,43
149130068,25
206104814,26
251319742,3
298418499,22
395808812,26
426680724,32
503194510,31
635614954,35
710090820,27
925358760,26
929385339,26
960093864,31
969179711,32
992784473,32
1049526884,31
1058409293,26
1217882090,4
1285790096,31
1301117325,22
1363289397,32
1611433929,32
1613966989,19
1631868461,32
1676368954,26
1676831927,18
1687216451,35
1704151425,26
1704278112,31
1734400596,27
1737264830,21
1743310702,27
1749442958,32
1776186556,2
1777577760,3
1792271392,26
1794538156,4
32612006,2
40650690,41
43095954,41
111135495,35
134896817,31
145326254,31
191951562,26
195067419,32
454014952,32
489193416,4
541455457,32
547757480,37
588608242,31
627186571,4
672104337,3
781154679,26
867973210,26
886828739,41
919289553,35
1013983282,3
1048382720,4
1073474447,4
1106717171,2
1163483262,3
1183865021,41
1278542875,42
1332426580,26
1345822778,3
1383080774,41
1385460743,27
1398927967,34
1417435433,3
1441006207,5
1448197787,4
1502156333,26
1546419494,2
1561333548,3
1577662350,41
1676388150,35
1679764753,25
1692275779,35
1700401094,31
1710559619,26
1720338170,32
1725154558,2
1728565864,26
1734252503,41
1736535461,31
1737899353,25
1748226371,28
1769795408,31
1769821363,4
1813793187,3
9160762,32
17049386,18
18512729,31
71768585,1
151395888,3
171690756,3
484922932,4
510009414,42
653392841,42
729871140,41
760122024,4
888321314,3
911182918,41
965517118,41
1035612551,27
1376487160,32
1411883837,27
1485958430,4
1489144848,4
1615076085,18
1621161679,4
1648999195,26
1672047906,26
1703557859,32
1705251723,22
1762523196,31
1775520462,41
1808861268,26
1810945062,35
1813219554,26
6592767,31
11287618,41
35019416,5
52233491,26
75891789,27
283633495,32
376063646,4
512157383,32
636448734,27
672112859,4
814493428,42
873679242,1
1018843082,3
1019007081,26
1101296759,4
1125366614,26
1161899894,1
1258105879,32
1388620050,3
1399865551,18
1411290513,32
1419424060,26
1455060742,5
1495486369,3
1513086276,32
1520609878,35
1653262307,22
1666371086,19
1672549326,3
1674735067,31
1697763471,3
1700365335,1
1701450095,32
1701455570,32
1701885715,1
1704674427,19
1775662445,3
65988924,41
87051901,27
97577290,42
98383581,3
493275063,4
515753529,11
571106026,4
620356356,3
679190237,5
726789333,3
772525632,27
905601530,3
914215196,35
927759784,3
956905177,1
1014243557,1
1074753056,32
1084775058,3
1086811499,3
1088639915,3
1148998031,18
1171694683,3
1201087435,26
1217338353,27
1449180177,32
1503549382,7
1598815070,2
1613442482,35
1615031535,35
1699207475,31
1701499573,34
1703482100,27
1736532932,31
1761011099,42
1762427996,32
1766363203,31
1794522963,27
1805089097,22
1818298103,31
294652,32
50550720,32
64421606,4
84598247,26
90249242,41
92242751,32
128498940,25
262725298,18
295954964,32
363815526,3
480251681,3
610988885,31
649232467,41
729130584,32
1061619860,2
1187782656,31
1414442518,26
1420172499,4
1524280489,12
1546238924,3
1671157709,32
1675096068,3
1700475984,4
1712788106,31
1732952702,4
1734024535,22
1760435262,3
1762677275,26
1793528807,26
1831415685,41
37751054,27
63002710,32
247091978,34
452789403,4
655780115,35
664969806,27
673399146,4
847103599,35
875780571,42
955482529,35
1008653499,32
1037187685,32
1144344906,7
1281919919,25
1333204059,28
1351796988,26
1355211453,32
1413887459,26
1431155977,41
1435120634,3
1472975881,32
1479818481,1
1493702431,18
1515559741,31
1519310117,35
1522805176,41
1524127207,41
1549708207,2
1564929526,32
1570644671,3
1598083512,7
1602878510,32
1623232927,32
1642579011,32
1646657448,35
1676872289,22
1731859672,3
1736566110,32
1743292220,32
1760619638,3
4410537,32
21115297,1
82625381,41
83496586,31
119459727,3
150731103,3
260537240,4
304551388,41
519773205,32
932385834,1
1081601610,27
1083810908,41
1105304515,35
1140278203,31
1155140937,3
1429011249,26
1430572093,32
1504902151,41
1548809979,4
1559834154,4
1567232728,41
1596073086,35
1610066603,20
1622560395,27
1652369930,32
1654054053,35
1683138339,42
1698927114,41
1701484987,4
1704269453,26
1743340043,31
1766839451,3
1774669611,3
1829727986,35
12602556,41
22033118,35
57265483,31
310864532,22
792905462,3
877881482,32
983949774,27
1124427891,41
1329922228,26
1408720495,27
1432079852,19
1498058196,4
1548243678,4
1569821945,4
1613332649,32
1641888886,3
1649094590,41
1649794623,1
1673997817,32
1675082621,35
1704041053,27
1704746875,4
1720228762,43
1734355145,22
1736541178,3
1762523218,1
1779705996,22
1795718076,42
1810914104,32
1817614975,35
9258605,35
19629326,3
79327168,1
79853021,31
100012848,42
216712123,3
280488486,34
341484179,34
540917104,27
560577701,35
658126434,25
1018969713,5
1087067906,7
1148967162,32
1152910172,1
1155024723,32
1179895868,32
1300282975,2
1301377998,3
1357329968,2
1404238945,35
1416555713,34
1436138433,26
1448328961,32
1460914170,41
1493618636,27
1641125283,34
1645899865,34
1646188098,3
1655054829,3
1704279900,3
1720563035,32
1741642144,31
1766812412,34
1773287253,32
1778568288,5
1811340916,42
48566730,32
90468571,32
112133071,31
807048148,3
1018858130,26
1038849594,3
1058897644,35
1065813910,35
1078340590,32
1080894373,31
1139583588,34
1192545649,1
1324338284,4
1342611981,26
1375216720,42
1376429675,32
1454799857,5
1457749148,32
1534512563,4
1562093263,32
1599481434,31
1618048361,32
1627924746,27
1671314333,32
1686829303,12
1743524312,27
1775075705,35
1788979162,32
15043284,22
45711407,3
48766620,3
55185853,32
87733703,3
115518569,27
232948780,4
388818448,22
415700305,31
433280700,1
558605418,41
578478950,31
583156686,32
673395949,32
693079725,41
723870473,19
921321306,32
953579069,20
1104796722,42
1184211293,4
1186861182,22
1212668820,19
1212860191,26
1259353757,3
1294492291,35
1302906532,31
1360295272,3
1412402278,25
1420159875,3
1460983659,2
1489542841,5
1554451139,3
1554597820,27
1569606267,41
1628594397,4
1641367200,1
1655536024,32
1704557074,31
1727186017,25
1731903149,18
1736498857,3
1742982980,31
1743336202,42
1775617749,3
11041346,31
29731350,31
51424086,35
95924260,26
126941983,3
387461821,31
403494539,3
416681636,37
453782403,4
582635380,27
598965028,5
635272514,3
702270324,3
926262294,25
950717192,26
1021323056,26
1043805494,41
1066068607,42
1380069182,22
1436123954,31
1447197096,4
1460183647,31
1489542778,27
1500575362,26
1503575767,26
1531528070,25
1560715127,31
1561700944,20
1581809395,3
1615066486,31
1625089338,4
1637250423,3
1657902213,3
1667461974,3
1674608247,31
1674892314,31
1731522415,31
1736526003,27
1742842092,4
1748597024,32
1766066678,21
1769817915,41
1769850082,19
1776046811,41
1795366203,31
5452716,19
41449229,5
43079003,2
50626037,3
98924930,22
149748693,32
171659466,26
212962252,35
219065799,18
225223957,35
257703153,18
263361863,25
385631535,42
453113824,1
568363028,41
686899359,18
803942464,22
845912055,27
1104724543,18
1130866531,4
1178271171,3
1358813919,25
1360164554,32
1397221568,3
1403314630,1
1412281990,43
1488063069,41
1580513394,18
1672882147,3
1674422867,42
1703939964,3
1712025500,1
1714739187,26
1729873919,3
1734079839,26
1743047890,2
1743333106,27
1746228397,32
1819791916,26
1822569399,32
1826574408,32
9002059,3
24854143,1
40981661,27
62000936,22
98681984,2
120714296,3
139832949,3
159698108,32
190472098,1
361984452,32
385403685,35
392514062,32
515954746,27
533020884,3
609730733,27
682366299,32
780235812,35
908832197,32
939368518,4
1021286710,32
1052739187,25
1140500197,41
1304205954,25
1398954203,32
1408138018,31
1485088049,32
1503647147,35
1562992286,32
1589188573,32
1589282580,32
1629009407,6
1648350971,32
1684939831,31
1704638550,3
1705291783,5
1711966008,32
1716667001,31
1724012914,31
1724409002,2
1744155696,3
1761385649,27
1771336365,35
1801418663,2
1806183365,41
1817128040,35
34112819,1
75973715,35
103555012,25
144163916,32
166477047,3
184119990,27
199727868,27
247749322,2
519230440,31
569784879,35
686969717,35
729794358,31
764021746,4
1018946139,18
1105936757,35
1206951823,41
1241511529,32
1310322481,41
1317305492,41
1389003706,32
1400219006,26
1409422591,2
1455082292,18
1462037370,27
1475138927,3
1483732891,35
1515283841,4
1598737362,35
1614471587,4
1623937779,3
1643802477,26
1662842642,42
1697258880,18
1711777714,31
1717353338,25
1722933418,32
1734023670,2
1748140846,31
1825807897,2
2917952,1
13560652,35
40696046,4
101167054,26
134364937,22
178068751,19
224424724,18
227677770,32
249915297,4
262491012,4
401126622,32
569113117,3
580721109,4
703948552,27
745104772,4
767245756,32
772159505,1
893544643,35
1201076479,41
1224511945,31
1225177430,32
1244471181,35
1305248567,32
1313403026,2
1360267877,32
1389814869,31
1397126608,18
1406920056,1
1457515710,31
1484072293,5
1494004100,32
1514203011,1
1548131209,35
1589475639,32
1645955624,3
1681657705,3
1701492879,32
1734146578,32
1743324212,41
1743339268,32
1778906836,31
1811988327,41
1832483957,32
2789390,25
55599446,27
63830685,3
91358923,34
110220486,26
116362011,41
128107234,3
237539920,32
297038252,41
308230279,25
427259433,31
530283793,3
654913481,2
672003899,27
672089581,4
711322290,43
780847697,35
807143944,18
961875879,2
1058980074,4
1144550048,41
1192545677,3
1206550744,32
1211556415,4
1274095493,26
1332896583,34
1347556443,32
1385748864,3
1408314594,18
1451346578,20
1489127510,3
1614700331,35
1649790219,1
1687674358,32
1701493861,4
1701536691,32
1702514486,31
1733141387,1
1737391429,22
1790717563,35
1832344017,41
1833929969,42
33807811,35
44930788,4
73811754,26
92414450,31
97588329,18
201720144,27
315083758,18
637742982,32
778768956,42
801162487,31
894592970,4
900592522,18
941605332,26
951838582,18
995183025,32
1037711680,31
1145491864,3
1169057345,32
1361927672,22
1376441007,31
1440673495,3
1458680165,3
1474094674,31
1474805441,19
1511769890,4
1528497489,2
1529078037,3
1572063191,19
1577224403,26
1580982150,35
1628344317,32
1678499830,27
1686395577,31
1720222888,19
1734322479,31
1751044089,35
1769853886,32
1810849392,26
18402539,7
75162031,34
142260927,5
347610572,3
441069627,31
478135189,4
573331189,3
662084064,35
672087004,32
727680775,20
799817387,35
885780605,3
926460311,31
1012405290,22
1128692329,42
1317922356,26
1451162740,4
1592712912,41
1614491109,32
1615066796,31
1704075626,37
1743056438,18
1746032432,35
1746510624,35
1748617037,31
1771333759,32
1778601773,27
1779504312,3
1811389669,31
32079512,41
35247376,35
125772397,18
134894150,34
259583201,35
438034028,4
664102845,32
668839011,42
672872587,26
725310787,34
736888098,18
843289611,27
846243601,41
1037738964,3
1037974491,35
1179895817,2
1265627443,4
1351116551,3
1357148406,3
1379420665,3
1402253906,19
1412785707,31
1415195098,27
1501420549,32
1515823001,3
1609005266,41
1615524458,2
1627495659,19
1629172124,26
1645222193,32
1665139403,22
1687564600,3
1694964107,4
1700463892,35
1708869620,41
1711547145,27
1720239908,32
1734397861,34
1737372244,32
1761452144,26
1762278700,35
1771145487,2
1780263941,27
1814218721,3
1829419128,4
27707588,3
40090814,32
85414339,41
93033723,5
95369604,41
104490330,3
104737009,32
170675057,26
249761118,32
251314704,35
392416928,18
522035109,4
651841514,19
694853266,4
716380001,34
717210426,3
763619913,3
807121609,32
876845857,3
881321891,35
965862301,3
1003968114,27
1016830029,25
1055820271,22
1071570559,18
1147311747,41
1201372258,26
1206596042,3
1233616528,3
1264375469,27
1424394011,3
1444681790,32
1481116801,32
1518986893,32
1670265500,3
1695092340,35
1734255273,19
1736589761,35
1749411747,32
1757600564,35
1760314935,27
1789023942,1
1797249100,1
4547492,34
12567753,31
21267885,41
37648156,3
42507284,35
57322777,19
104775936,42
126540286,3
205404612,42
400430935,26
415847620,31
506082969,42
708747691,19
845658269,18
942045206,4
978282468,31
1029784158,4
1074138189,35
1119380868,31
1257515410,32
1320717543,42
1332418217,31
1332614888,32
1353966642,5
1452489747,1
1489089838,25
1596349949,41
1641116179,34
1649448676,32
1676313779,32
1703921234,3
1726066735,41
1736591734,2
1766222016,4
1788103821,3
1811969748,1
1820412661,27
4377396,32
60860443,41
68711812,2
150249134,5
451710713,3
466884230,32
513551035,31
530463560,18
540407663,31
558307615,4
620434913,31
668615989,3
672092653,31
786284421,18
804639593,25
889887773,31
941682945,31
989527546,31
1017205407,18
1029871594,3
1037422885,3
1044206569,1
1106290776,32
1146165000,42
1283425550,4
1378138020,4
1397178975,3
1490052604,32
1504879578,31
1543976649,27
1548227864,4
1558243335,35
1576100320,4
1679518752,32
1688063792,35
1695225936,31
1697226803,34
1701539453,3
1703920843,22
1727641263,42
1736576582,31
1769797770,3
5990594,18
16855672,22
32401466,3
58426322,35
119805087,3
131009660,1
174222615,42
220943823,4
306004108,31
527708955,32
574125432,35
932753800,5
1058292771,3
1072053943,4
1120374294,28
1122037431,26
1255469981,32
1261956081,4
1274108250,26
1317223738,35
1384051710,3
1464570302,26
1494667588,42
1511617565,4
1543257788,41
1554466345,19
1648912737,35
1675795247,27
1688464064,37
1701372468,18
1707623898,19
1726834936,22
1730281829,3
1733053167,32
1736589381,41
1783899250,18
1827727099,31
1828323215,3
853453,3
69543102,31
94697394,4
123710390,4
196308144,32
316601367,3
383144030,35
505323753,31
562066371,42
597379915,3
686954449,26
725430596,3
750071050,1
782280149,31
793585889,32
844704563,4
940385097,18
954794912,5
1016980199,3
1069853127,35
1122485330,3
1175395394,4
1179681703,7
1261863011,5
1302056333,3
1327269095,12
1428955620,27
1434516579,3
1462754453,27
1480948546,3
1492688433,25
1538811453,35
1554625660,28
1614265970,32
1645763356,18
1662788921,26
1664447167,22
1675633734,22
1700437488,32
1726338692,32
1769913023,35
1787464877,3
1815553355,18
1819485712,26
19734281,5
20714672,27
51079972,31
136881578,35
138331468,32
166747973,32
323670677,26
363629820,26
395115208,26
489663596,34
494131997,4
662476409,42
674482224,31
693281881,31
699759927,35
794504319,35
816382344,27
926223948,27
951400206,21
1014538379,2
1083145195,25
1143599026,26
1159313694,19
1166113499,4
1184351630,32
1266539174,26
1303409172,26
1382586093,3
1460903779,4
1502165931,31
1617907491,35
1626486532,42
1666425941,26
1675227304,35
1692832989,18
1696490167,35
1704630685,32
1733989666,32
1746234184,18
1765874696,31
1766549443,35
1769908590,3
1778654089,35
1788261753,2
1823711739,32
18791686,25
44631025,32
62906868,32
90040952,27
90469934,3
97041265,32
97091673,3
105001249,32
130650723,4
165344724,22
280772661,2
322806489,25
626155032,3
644039099,31
673252913,26
673271699,27
693200076,7
831431413,4
928525074,31
932742442,18
969538469,3
1005163564,4
1011673822,22
1018893901,4
1023306022,19
1058002644,27
1151699067,32
1175193212,3
1260108592,5
1407018712,4
1408754697,22
1409549275,18
1468251018,31
1545740170,2
1554462032,1
1615039870,43
1624180254,31
1666179451,4
1676188892,2
1681540594,3
1704390412,25
1714810985,4
1736510020,3
1762300052,19
1776070458,26
1812552477,31
1830600560,4
9683775,3
47379413,3
50772841,27
61629926,32
69460925,2
72096115,22
98063800,32
110245993,18
111174264,1
121302392,32
201612010,32
215168926,3
234744291,32
240063610,41
569919447,27
682603115,42
715827756,3
929681258,20
1018741936,19
1034888879,4
1062348001,3
1068106902,4
1124759128,41
1157012300,31
1183865144,32
1322557506,41
1403117259,32
1570662121,31
1615040550,4
1633171398,32
1650721278,35
1704120105,32
1704536113,32
1704721253,3
1704933998,3
1712470899,0
1713991285,4
1734487614,18
1767440152,3
1820745213,3
1821415879,22
1824044136,4
37267870,26
87583981,35
108284183,34
117446367,31
169583640,25
179840461,27
323449017,3
339196169,31
491531448,32
605534519,35
749991098,3
772982238,32
874544496,2
900041953,31
929763514,5
941555065,35
949736676,31
1018734302,25
1027347576,19
1285554081,31
1285917975,1
1318011104,2
1378576479,32
1424707695,25
1465321366,41
1469445201,3
1517692949,3
1553349833,18
1556489086,5
1589783987,34
1613426179,41
1640378444,31
1643914970,32
1675134614,32
1675990427,5
1695487332,3
1700409055,28
1704320490,27
1743327784,42
1762329587,3
1766591439,22
1775883461,18
8145783,27
22754720,32
82671148,32
103048231,41
128564718,4
134943985,26
229379107,3
272048251,25
487904082,31
519658476,25
876614663,20
919648660,27
1021777512,32
1022397878,3
1058983449,4
1081529447,31
1181119146,22
1299275022,41
1474336279,26
1517478216,34
1523078956,31
1545199984,26
1558613704,22
1567484346,3
1602929603,26
1610287325,31
1624375561,25
1629906222,18
1634208565,41
1687467964,26
1699028359,4
1717353483,5
1730639492,31
1730838185,38
1731628503,32
1734027557,32
1755433988,32
1806935869,19
1811594311,41
1823708737,32
1824251578,4
22188658,3
35108307,26
57103669,31
76313172,3
156608161,31
164191812,31
165167032,4
190244341,32
242390529,41
347685938,27
391409856,18
442192792,27
446921408,27
461636399,27
580437494,35
582457567,7
626198434,25
637434901,41
641830272,26
728429013,4
739243905,18
814615751,3
905449253,27
916558809,3
1068901287,27
1124325824,7
1215626285,4
1260619683,18
1274095193,27
1306986004,22
1371872858,3
1423097449,5
1448189623,1
1480132007,3
1497280712,4
1554609562,32
1569831858,32
1589347706,31
1629651861,3
1634138796,3
1637211602,35
1652205692,2
1675380626,31
1675781535,42
1683489955,32
1704141284,42
1714716096,27
1716980693,5
1717751790,41
1733931028,19
1734178038,31
1738277472,41
1741455411,34
1754609567,34
1778982497,26
1795388154,1
4359816,32
14429431,32
70695976,22
181966274,4
199618134,32
233967509,26
270506555,32
283578016,31
466719497,25
477439768,4
490405819,21
498133391,4
533363319,2
636429407,31
679643557,3
719457911,3
726528741,32
915299395,7
933953859,35
1293837619,32
1318146608,32
1329386193,27
1332377889,32
1404488135,19
1423937062,41
1447412410,26
1545733839,31
1562202654,31
1596066591,42
1629068288,41
1629430468,19
1645900760,35
1701526137,26
1705177746,3
1714708119,2
1739287515,35
1758721883,35
1765582463,31
2830882,25
63812224,18
73160074,31
89773974,18
137415882,3
141670446,42
221811613,4
292690210,3
298939031,31
309695131,4
627186136,19
707056101,4
734044243,27
787197342,32
813211702,31
816868515,22
883055199,31
942162107,18
1113747336,31
1120718125,31
1183864992,42
1196160944,3
1285554094,12
1409548936,3
1460742144,5
1522581047,32
1538284282,5
1578133056,1
1583421460,42
1589909432,41
1590291728,25
1641598309,42
1662745036,31
1668266759,35
1704116618,32
1704748563,3
1733976839,27
1743282741,18
1747556510,3
1766326012,4
1766865711,42
1795281786,35
4118250,3
4416661,4
13282720,31
62321657,31
76225263,3
318475465,1
428276049,1
565791484,1
865583473,42
886421932,25
902633025,1
905492434,3
953796252,3
1068081944,42
1076653938,26
1148816005,31
1197552944,27
1206042353,43
1275922965,27
1362380767,5
1389804983,26
1489144762,3
